interval_start_est,interval_end_est,node,lmp
2016-01-01T23:00:00.0,2016-01-02T00:00:00.0,LOUISIANA.HUB,22.24
2016-01-01T23:00:00.0,2016-01-02T00:00:00.0,MICHIGAN.HUB,21.65
2016-01-01T23:00:00.0,2016-01-02T00:00:00.0,MINN.HUB,18.91
2016-01-01T23:00:00.0,2016-01-02T00:00:00.0,TEXAS.HUB,21.56
2016-01-02T00:00:00.0,2016-01-02T01:00:00.0,ARKANSAS.HUB,20.26
2016-01-02T00:00:00.0,2016-01-02T01:00:00.0,ILLINOIS.HUB,19.95
2016-01-02T00:00:00.0,2016-01-02T01:00:00.0,INDIANA.HUB,20.86
2016-01-02T00:00:00.0,2016-01-02T01:00:00.0,LOUISIANA.HUB,21.07
2016-01-02T00:00:00.0,2016-01-02T01:00:00.0,MICHIGAN.HUB,21.01
2016-01-02T00:00:00.0,2016-01-02T01:00:00.0,MINN.HUB,17.94
2016-01-02T00:00:00.0,2016-01-02T01:00:00.0,TEXAS.HUB,20.46
2016-01-02T01:00:00.0,2016-01-02T02:00:00.0,ARKANSAS.HUB,20.03
2016-01-02T01:00:00.0,2016-01-02T02:00:00.0,ILLINOIS.HUB,19.79
2016-01-02T01:00:00.0,2016-01-02T02:00:00.0,INDIANA.HUB,20.77
2016-01-02T01:00:00.0,2016-01-02T02:00:00.0,LOUISIANA.HUB,20.86
2016-01-02T01:00:00.0,2016-01-02T02:00:00.0,MICHIGAN.HUB,20.92
2016-01-02T01:00:00.0,2016-01-02T02:00:00.0,MINN.HUB,18.16
2016-01-02T01:00:00.0,2016-01-02T02:00:00.0,TEXAS.HUB,20.24
2016-01-02T02:00:00.0,2016-01-02T03:00:00.0,ARKANSAS.HUB,19.55
2016-01-02T02:00:00.0,2016-01-02T03:00:00.0,ILLINOIS.HUB,19.14
2016-01-02T02:00:00.0,2016-01-02T03:00:00.0,INDIANA.HUB,20.01
2016-01-02T02:00:00.0,2016-01-02T03:00:00.0,LOUISIANA.HUB,20.34
2016-01-02T02:00:00.0,2016-01-02T03:00:00.0,MICHIGAN.HUB,20.11
2016-01-02T02:00:00.0,2016-01-02T03:00:00.0,MINN.HUB,17.61
2016-01-02T02:00:00.0,2016-01-02T03:00:00.0,TEXAS.HUB,19.79
2016-01-02T03:00:00.0,2016-01-02T04:00:00.0,ARKANSAS.HUB,19.4
2016-01-02T03:00:00.0,2016-01-02T04:00:00.0,ILLINOIS.HUB,18.99
2016-01-02T03:00:00.0,2016-01-02T04:00:00.0,INDIANA.HUB,19.86
2016-01-02T03:00:00.0,2016-01-02T04:00:00.0,LOUISIANA.HUB,20.19
2016-01-02T03:00:00.0,2016-01-02T04:00:00.0,MICHIGAN.HUB,19.96
2016-01-02T03:00:00.0,2016-01-02T04:00:00.0,MINN.HUB,17.47
2016-01-02T03:00:00.0,2016-01-02T04:00:00.0,TEXAS.HUB,19.64
2016-01-02T04:00:00.0,2016-01-02T05:00:00.0,ARKANSAS.HUB,19.47
2016-01-02T04:00:00.0,2016-01-02T05:00:00.0,ILLINOIS.HUB,19.0
2016-01-02T04:00:00.0,2016-01-02T05:00:00.0,INDIANA.HUB,19.85
2016-01-02T04:00:00.0,2016-01-02T05:00:00.0,LOUISIANA.HUB,20.21
2016-01-02T04:00:00.0,2016-01-02T05:00:00.0,MICHIGAN.HUB,19.99
2016-01-02T04:00:00.0,2016-01-02T05:00:00.0,MINN.HUB,17.35
2016-01-02T04:00:00.0,2016-01-02T05:00:00.0,TEXAS.HUB,19.66
2016-01-02T05:00:00.0,2016-01-02T06:00:00.0,ARKANSAS.HUB,19.7
2016-01-02T05:00:00.0,2016-01-02T06:00:00.0,ILLINOIS.HUB,19.3
2016-01-02T05:00:00.0,2016-01-02T06:00:00.0,INDIANA.HUB,20.16
2016-01-02T05:00:00.0,2016-01-02T06:00:00.0,LOUISIANA.HUB,20.46
2016-01-02T05:00:00.0,2016-01-02T06:00:00.0,MICHIGAN.HUB,20.31
2016-01-02T05:00:00.0,2016-01-02T06:00:00.0,MINN.HUB,17.68
2016-01-02T05:00:00.0,2016-01-02T06:00:00.0,TEXAS.HUB,19.91
2016-01-02T06:00:00.0,2016-01-02T07:00:00.0,ARKANSAS.HUB,20.5
2016-01-02T06:00:00.0,2016-01-02T07:00:00.0,ILLINOIS.HUB,20.03
2016-01-02T06:00:00.0,2016-01-02T07:00:00.0,INDIANA.HUB,20.6
2016-01-02T06:00:00.0,2016-01-02T07:00:00.0,LOUISIANA.HUB,20.86
2016-01-02T06:00:00.0,2016-01-02T07:00:00.0,MICHIGAN.HUB,20.3
2016-01-02T06:00:00.0,2016-01-02T07:00:00.0,MINN.HUB,18.96
2016-01-02T06:00:00.0,2016-01-02T07:00:00.0,TEXAS.HUB,20.09
2016-01-02T07:00:00.0,2016-01-02T08:00:00.0,ARKANSAS.HUB,22.82
2016-01-02T07:00:00.0,2016-01-02T08:00:00.0,ILLINOIS.HUB,21.84
2016-01-02T07:00:00.0,2016-01-02T08:00:00.0,INDIANA.HUB,22.13
2016-01-02T07:00:00.0,2016-01-02T08:00:00.0,LOUISIANA.HUB,22.04
2016-01-02T07:00:00.0,2016-01-02T08:00:00.0,MICHIGAN.HUB,22.04
2016-01-02T07:00:00.0,2016-01-02T08:00:00.0,MINN.HUB,19.13
2016-01-02T07:00:00.0,2016-01-02T08:00:00.0,TEXAS.HUB,22.3
2016-01-02T08:00:00.0,2016-01-02T09:00:00.0,ARKANSAS.HUB,24.48
2016-01-02T08:00:00.0,2016-01-02T09:00:00.0,ILLINOIS.HUB,22.25
2016-01-02T08:00:00.0,2016-01-02T09:00:00.0,INDIANA.HUB,23.32
2016-01-02T08:00:00.0,2016-01-02T09:00:00.0,LOUISIANA.HUB,24.42
2016-01-02T08:00:00.0,2016-01-02T09:00:00.0,MICHIGAN.HUB,23.31
2016-01-02T08:00:00.0,2016-01-02T09:00:00.0,MINN.HUB,20.62
2016-01-02T08:00:00.0,2016-01-02T09:00:00.0,TEXAS.HUB,23.78
2016-01-02T09:00:00.0,2016-01-02T10:00:00.0,ARKANSAS.HUB,26.96
2016-01-02T09:00:00.0,2016-01-02T10:00:00.0,ILLINOIS.HUB,23.44
2016-01-02T09:00:00.0,2016-01-02T10:00:00.0,INDIANA.HUB,23.81
2016-01-02T09:00:00.0,2016-01-02T10:00:00.0,LOUISIANA.HUB,26.3
2016-01-02T09:00:00.0,2016-01-02T10:00:00.0,MICHIGAN.HUB,23.77
2016-01-02T09:00:00.0,2016-01-02T10:00:00.0,MINN.HUB,20.82
2016-01-02T09:00:00.0,2016-01-02T10:00:00.0,TEXAS.HUB,26.26
2016-01-02T10:00:00.0,2016-01-02T11:00:00.0,ARKANSAS.HUB,25.56
2016-01-02T10:00:00.0,2016-01-02T11:00:00.0,ILLINOIS.HUB,24.56
2016-01-02T10:00:00.0,2016-01-02T11:00:00.0,INDIANA.HUB,25.0
2016-01-02T10:00:00.0,2016-01-02T11:00:00.0,LOUISIANA.HUB,26.24
2016-01-02T10:00:00.0,2016-01-02T11:00:00.0,MICHIGAN.HUB,24.5
2016-01-02T10:00:00.0,2016-01-02T11:00:00.0,MINN.HUB,21.17
2016-01-02T10:00:00.0,2016-01-02T11:00:00.0,TEXAS.HUB,25.3
2016-01-02T11:00:00.0,2016-01-02T12:00:00.0,ARKANSAS.HUB,24.01
2016-01-02T11:00:00.0,2016-01-02T12:00:00.0,ILLINOIS.HUB,24.09
2016-01-02T11:00:00.0,2016-01-02T12:00:00.0,INDIANA.HUB,24.35
2016-01-02T11:00:00.0,2016-01-02T12:00:00.0,LOUISIANA.HUB,24.77
2016-01-02T11:00:00.0,2016-01-02T12:00:00.0,MICHIGAN.HUB,23.86
2016-01-02T11:00:00.0,2016-01-02T12:00:00.0,MINN.HUB,21.13
2016-01-02T11:00:00.0,2016-01-02T12:00:00.0,TEXAS.HUB,23.88
2016-01-02T12:00:00.0,2016-01-02T13:00:00.0,ARKANSAS.HUB,22.78
