interval_start_est,interval_end_est,node,lmp
2023-02-04T00:00:00.0,2023-02-04T01:00:00.0,NSP.NOBLES.WND,-7.58
2023-02-04T00:00:00.0,2023-02-04T01:00:00.0,NSP.PVALEY.WND,1.71
2023-02-05T00:00:00.0,2023-02-05T01:00:00.0,GRE.ALTW,-0.4
2023-02-05T00:00:00.0,2023-02-05T01:00:00.0,MINN.HUB,9.74
2023-02-05T00:00:00.0,2023-02-05T01:00:00.0,NSP.NOBLES.WND,-5.75
2023-02-05T00:00:00.0,2023-02-05T01:00:00.0,NSP.PVALEY.WND,7.44
2023-02-06T00:00:00.0,2023-02-06T01:00:00.0,GRE.ALTW,13.34
2023-02-06T00:00:00.0,2023-02-06T01:00:00.0,MINN.HUB,14.95
2023-02-06T00:00:00.0,2023-02-06T01:00:00.0,NSP.NOBLES.WND,10.79
2023-02-06T00:00:00.0,2023-02-06T01:00:00.0,NSP.PVALEY.WND,16.23
2023-02-07T00:00:00.0,2023-02-07T01:00:00.0,GRE.ALTW,-7.11
2023-02-07T00:00:00.0,2023-02-07T01:00:00.0,MINN.HUB,9.8
2023-02-07T00:00:00.0,2023-02-07T01:00:00.0,NSP.NOBLES.WND,-11.78
2023-02-07T00:00:00.0,2023-02-07T01:00:00.0,NSP.PVALEY.WND,5.1
2023-02-08T00:00:00.0,2023-02-08T01:00:00.0,GRE.ALTW,14.66
2023-02-08T00:00:00.0,2023-02-08T01:00:00.0,MINN.HUB,15.24
2023-02-08T00:00:00.0,2023-02-08T01:00:00.0,NSP.NOBLES.WND,13.99
2023-02-08T00:00:00.0,2023-02-08T01:00:00.0,NSP.PVALEY.WND,17.24
2023-02-09T00:00:00.0,2023-02-09T01:00:00.0,GRE.ALTW,20.73
2023-02-09T00:00:00.0,2023-02-09T01:00:00.0,MINN.HUB,21.28
2023-02-09T00:00:00.0,2023-02-09T01:00:00.0,NSP.NOBLES.WND,20.69
2023-02-09T00:00:00.0,2023-02-09T01:00:00.0,NSP.PVALEY.WND,20.45
2023-02-10T00:00:00.0,2023-02-10T01:00:00.0,GRE.ALTW,-7.29
2023-02-10T00:00:00.0,2023-02-10T01:00:00.0,MINN.HUB,12.16
2023-02-10T00:00:00.0,2023-02-10T01:00:00.0,NSP.NOBLES.WND,-11.12
2023-02-10T00:00:00.0,2023-02-10T01:00:00.0,NSP.PVALEY.WND,-4.36
2023-02-11T00:00:00.0,2023-02-11T01:00:00.0,GRE.ALTW,-11.96
2023-02-11T00:00:00.0,2023-02-11T01:00:00.0,MINN.HUB,3.2
2023-02-11T00:00:00.0,2023-02-11T01:00:00.0,NSP.NOBLES.WND,-16.36
2023-02-11T00:00:00.0,2023-02-11T01:00:00.0,NSP.PVALEY.WND,1.73
2023-02-12T00:00:00.0,2023-02-12T01:00:00.0,GRE.ALTW,13.18
2023-02-12T00:00:00.0,2023-02-12T01:00:00.0,MINN.HUB,16.49
2023-02-12T00:00:00.0,2023-02-12T01:00:00.0,NSP.NOBLES.WND,12.16
2023-02-12T00:00:00.0,2023-02-12T01:00:00.0,NSP.PVALEY.WND,16.52
2023-02-13T00:00:00.0,2023-02-13T01:00:00.0,GRE.ALTW,7.12
2023-02-13T00:00:00.0,2023-02-13T01:00:00.0,MINN.HUB,12.07
2023-02-13T00:00:00.0,2023-02-13T01:00:00.0,NSP.NOBLES.WND,5.96
2023-02-13T00:00:00.0,2023-02-13T01:00:00.0,NSP.PVALEY.WND,12.12
2023-02-14T00:00:00.0,2023-02-14T01:00:00.0,GRE.ALTW,-10.52
2023-02-14T00:00:00.0,2023-02-14T01:00:00.0,MINN.HUB,8.71
2023-02-14T00:00:00.0,2023-02-14T01:00:00.0,NSP.NOBLES.WND,-14.3
2023-02-14T00:00:00.0,2023-02-14T01:00:00.0,NSP.PVALEY.WND,-0.95
2023-02-15T00:00:00.0,2023-02-15T01:00:00.0,GRE.ALTW,-6.25
2023-02-15T00:00:00.0,2023-02-15T01:00:00.0,MINN.HUB,-1.0
2023-02-15T00:00:00.0,2023-02-15T01:00:00.0,NSP.NOBLES.WND,-7.26
2023-02-15T00:00:00.0,2023-02-15T01:00:00.0,NSP.PVALEY.WND,0.84
2023-02-16T00:00:00.0,2023-02-16T01:00:00.0,GRE.ALTW,11.27
2023-02-16T00:00:00.0,2023-02-16T01:00:00.0,MINN.HUB,16.91
2023-02-16T00:00:00.0,2023-02-16T01:00:00.0,NSP.NOBLES.WND,11.04
2023-02-16T00:00:00.0,2023-02-16T01:00:00.0,NSP.PVALEY.WND,15.48
2023-02-17T00:00:00.0,2023-02-17T01:00:00.0,GRE.ALTW,21.37
2023-02-17T00:00:00.0,2023-02-17T01:00:00.0,MINN.HUB,22.19
2023-02-17T00:00:00.0,2023-02-17T01:00:00.0,NSP.NOBLES.WND,20.78
2023-02-17T00:00:00.0,2023-02-17T01:00:00.0,NSP.PVALEY.WND,22.07
2023-02-18T00:00:00.0,2023-02-18T01:00:00.0,GRE.ALTW,2.3
2023-02-18T00:00:00.0,2023-02-18T01:00:00.0,MINN.HUB,10.43
2023-02-18T00:00:00.0,2023-02-18T01:00:00.0,NSP.NOBLES.WND,0.72
2023-02-18T00:00:00.0,2023-02-18T01:00:00.0,NSP.PVALEY.WND,8.75
2023-02-19T00:00:00.0,2023-02-19T01:00:00.0,GRE.ALTW,4.25
2023-02-19T00:00:00.0,2023-02-19T01:00:00.0,MINN.HUB,12.0
2023-02-19T00:00:00.0,2023-02-19T01:00:00.0,NSP.NOBLES.WND,3.13
2023-02-19T00:00:00.0,2023-02-19T01:00:00.0,NSP.PVALEY.WND,-0.54
2023-02-20T00:00:00.0,2023-02-20T01:00:00.0,GRE.ALTW,23.25
2023-02-20T00:00:00.0,2023-02-20T01:00:00.0,MINN.HUB,23.14
2023-02-20T00:00:00.0,2023-02-20T01:00:00.0,NSP.NOBLES.WND,22.77
2023-02-20T00:00:00.0,2023-02-20T01:00:00.0,NSP.PVALEY.WND,22.45
2023-02-21T00:00:00.0,2023-02-21T01:00:00.0,GRE.ALTW,-2.18
2023-02-21T00:00:00.0,2023-02-21T01:00:00.0,MINN.HUB,18.24
2023-02-21T00:00:00.0,2023-02-21T01:00:00.0,NSP.NOBLES.WND,-36.61
