technology,year,power_mw,duration,estimate_type,parameter_category,parameter,value
CAES,2023,1000,4,High,Performance,RTE (%),0.52
CAES,2023,1000,4,High,Performance,Calendar Life (yrs),60
CAES,2023,1000,4,High,Performance,Primary DOD (%),0.8
CAES,2023,1000,4,High,Capital Cost,Total Installed Cost ($),1130510000
CAES,2023,1000,4,High,Capital Cost,Total Installed Cost ($/kW),1130.51
CAES,2023,1000,4,High,Capital Cost,Total Installed Cost ($/kWh),282.63
CAES,2023,1000,4,High,LCOS,LCOS_Project_Life (yrs),60
CAES,2023,1000,4,High,LCOS,LCOS ($/kWh),0.1428
CAES,2023,1000,4,Low,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",871.03
CAES,2023,1000,4,Low,Capital Cost,Cavern Storage ($/kWh),2.55
CAES,2023,1000,4,Low,O&M Cost,Fixed O&M ($/kW-year),8.41
CAES,2023,1000,4,Low,Performance,Rest Before Charge (hrs),0
CAES,2023,1000,4,Low,Performance,Rest After Discharge (hrs),0
CAES,2023,1000,4,Low,Performance,RTE (%),0.69
CAES,2023,1000,4,Low,Performance,Calendar Life (yrs),60
CAES,2023,1000,4,Low,Performance,Primary DOD (%),0.8
CAES,2023,1000,4,Low,Capital Cost,Total Installed Cost ($),881230000
CAES,2023,1000,4,Low,Capital Cost,Total Installed Cost ($/kW),881.23
CAES,2023,1000,4,Low,Capital Cost,Total Installed Cost ($/kWh),220.31
CAES,2023,1000,4,Low,LCOS,LCOS_Project_Life (yrs),60
CAES,2023,1000,4,Low,LCOS,LCOS ($/kWh),0.1102
CAES,2023,1000,4,Point,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",967.81
CAES,2023,1000,4,Point,Capital Cost,Cavern Storage ($/kWh),6.28
CAES,2023,1000,4,Point,O&M Cost,Fixed O&M ($/kW-year),9.35
CAES,2023,1000,4,Point,Performance,Rest Before Charge (hrs),0
CAES,2023,1000,4,Point,Performance,Rest After Discharge (hrs),0
CAES,2023,1000,4,Point,Performance,RTE (%),0.55
CAES,2023,1000,4,Point,Performance,Calendar Life (yrs),60
CAES,2023,1000,4,Point,Performance,Primary DOD (%),0.8
CAES,2023,1000,4,Point,Capital Cost,Total Installed Cost ($),992930000
CAES,2023,1000,4,Point,Capital Cost,Total Installed Cost ($/kW),992.93
CAES,2023,1000,4,Point,Capital Cost,Total Installed Cost ($/kWh),248.23
CAES,2023,1000,4,Point,LCOS,LCOS_Project_Life (yrs),60
CAES,2023,1000,4,Point,LCOS,LCOS ($/kWh),0.1296
CAES,2023,1000,10,High,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",1063.11
CAES,2023,1000,10,High,Capital Cost,Cavern Storage ($/kWh),16.44
CAES,2023,1000,10,High,O&M Cost,Fixed O&M ($/kW-year),10.1
CAES,2023,1000,10,High,Performance,Rest Before Charge (hrs),0
CAES,2023,1000,10,High,Performance,Rest After Discharge (hrs),0
CAES,2023,1000,10,High,Performance,RTE (%),0.52
CAES,2023,1000,10,High,Performance,Calendar Life (yrs),60
CAES,2023,1000,10,High,Performance,Primary DOD (%),0.8
CAES,2023,1000,10,High,Capital Cost,Total Installed Cost ($),1227510000
CAES,2023,1000,10,High,Capital Cost,Total Installed Cost ($/kW),1227.51
CAES,2023,1000,10,High,Capital Cost,Total Installed Cost ($/kWh),122.75
CAES,2023,1000,10,High,LCOS,LCOS_Project_Life (yrs),60
CAES,2023,1000,10,High,LCOS,LCOS ($/kWh),0.1022
CAES,2023,1000,10,Low,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",869.82
CAES,2023,1000,10,Low,Capital Cost,Cavern Storage ($/kWh),2.47
CAES,2023,1000,10,Low,O&M Cost,Fixed O&M ($/kW-year),8.26
CAES,2023,1000,10,Low,Performance,Rest Before Charge (hrs),0
CAES,2023,1000,10,Low,Performance,Rest After Discharge (hrs),0
CAES,2023,1000,10,Low,Performance,RTE (%),0.69
CAES,2023,1000,10,Low,Performance,Calendar Life (yrs),60
CAES,2023,1000,10,Low,Performance,Primary DOD (%),0.8
CAES,2023,1000,10,Low,Capital Cost,Total Installed Cost ($),894520000
CAES,2023,1000,10,Low,Capital Cost,Total Installed Cost ($/kW),894.52
CAES,2023,1000,10,Low,Capital Cost,Total Installed Cost ($/kWh),89.45
CAES,2023,1000,10,Low,LCOS,LCOS_Project_Life (yrs),60
CAES,2023,1000,10,Low,LCOS,LCOS ($/kWh),0.071
CAES,2023,1000,10,Point,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",966.47
CAES,2023,1000,10,Point,Capital Cost,Cavern Storage ($/kWh),5.89
CAES,2023,1000,10,Point,O&M Cost,Fixed O&M ($/kW-year),9.18
CAES,2023,1000,10,Point,Performance,Rest Before Charge (hrs),0
CAES,2023,1000,10,Point,Performance,Rest After Discharge (hrs),0
CAES,2023,1000,10,Point,Performance,RTE (%),0.55
CAES,2023,1000,10,Point,Performance,Calendar Life (yrs),60
CAES,2023,1000,10,Point,Performance,Primary DOD (%),0.8
CAES,2023,1000,10,Point,Capital Cost,Total Installed Cost ($),1025370000
CAES,2023,1000,10,Point,Capital Cost,Total Installed Cost ($/kW),1025.37
CAES,2023,1000,10,Point,Capital Cost,Total Installed Cost ($/kWh),102.54
CAES,2023,1000,10,Point,LCOS,LCOS_Project_Life (yrs),60
CAES,2023,1000,10,Point,LCOS,LCOS ($/kWh),0.0907
CAES,2023,1000,24,High,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",1062.54
CAES,2023,1000,24,High,Capital Cost,Cavern Storage ($/kWh),16.4
CAES,2023,1000,24,High,O&M Cost,Fixed O&M ($/kW-year),10.05
CAES,2023,1000,24,High,Performance,Rest Before Charge (hrs),0
CAES,2023,1000,24,High,Performance,Rest After Discharge (hrs),0
CAES,2023,1000,24,High,Performance,RTE (%),0.52
CAES,2023,1000,24,High,Performance,Calendar Life (yrs),60
CAES,2023,1000,24,High,Performance,Primary DOD (%),0.8
CAES,2023,1000,24,High,Capital Cost,Total Installed Cost ($),1456140000
CAES,2023,1000,24,High,Capital Cost,Total Installed Cost ($/kW),1456.14
CAES,2023,1000,24,High,Capital Cost,Total Installed Cost ($/kWh),60.67
CAES,2023,1000,24,High,LCOS,LCOS_Project_Life (yrs),60
CAES,2023,1000,24,High,LCOS,LCOS ($/kWh),0.1096
CAES,2023,1000,24,Low,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",869.35
CAES,2023,1000,24,Low,Capital Cost,Cavern Storage ($/kWh),2.39
CAES,2023,1000,24,Low,O&M Cost,Fixed O&M ($/kW-year),8.22
CAES,2023,1000,24,Low,Performance,Rest Before Charge (hrs),0
CAES,2023,1000,24,Low,Performance,Rest After Discharge (hrs),0
CAES,2023,1000,24,Low,Performance,RTE (%),0.69
CAES,2023,1000,24,Low,Performance,Calendar Life (yrs),60
CAES,2023,1000,24,Low,Performance,Primary DOD (%),0.8
CAES,2023,1000,24,Low,Capital Cost,Total Installed Cost ($),926710000
CAES,2023,1000,24,Low,Capital Cost,Total Installed Cost ($/kW),926.71
CAES,2023,1000,24,Low,Capital Cost,Total Installed Cost ($/kWh),38.61
CAES,2023,1000,24,Low,LCOS,LCOS_Project_Life (yrs),60
CAES,2023,1000,24,Low,LCOS,LCOS ($/kWh),0.0719
CAES,2023,1000,24,Point,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",965.94
CAES,2023,1000,24,Point,Capital Cost,Cavern Storage ($/kWh),5.64
CAES,2023,1000,24,Point,O&M Cost,Fixed O&M ($/kW-year),9.13
CAES,2023,1000,24,Point,Performance,Rest Before Charge (hrs),0
CAES,2023,1000,24,Point,Performance,Rest After Discharge (hrs),0
CAES,2023,1000,24,Point,Performance,RTE (%),0.55
CAES,2023,1000,24,Point,Performance,Calendar Life (yrs),60
CAES,2023,1000,24,Point,Performance,Primary DOD (%),0.8
CAES,2023,1000,24,Point,Capital Cost,Total Installed Cost ($),1101300000
CAES,2023,1000,24,Point,Capital Cost,Total Installed Cost ($/kW),1101.3
CAES,2023,1000,24,Point,Capital Cost,Total Installed Cost ($/kWh),45.89
CAES,2023,1000,24,Point,LCOS,LCOS_Project_Life (yrs),60
CAES,2023,1000,24,Point,LCOS,LCOS ($/kWh),0.0931
CAES,2023,1000,100,High,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",1062.23
CAES,2023,1000,100,High,Capital Cost,Cavern Storage ($/kWh),16.33
CAES,2023,1000,100,High,O&M Cost,Fixed O&M ($/kW-year),10.2
CAES,2023,1000,100,High,Performance,Rest Before Charge (hrs),0
CAES,2023,1000,100,High,Performance,Rest After Discharge (hrs),0
CAES,2023,1000,100,High,Performance,RTE (%),0.52
CAES,2023,1000,100,High,Performance,Calendar Life (yrs),60
CAES,2023,1000,100,High,Performance,Primary DOD (%),0.8
CAES,2023,1000,100,High,Capital Cost,Total Installed Cost ($),2695230000
CAES,2023,1000,100,High,Capital Cost,Total Installed Cost ($/kW),2695.23
CAES,2023,1000,100,High,Capital Cost,Total Installed Cost ($/kWh),26.95
CAES,2023,1000,100,High,LCOS,LCOS_Project_Life (yrs),60
CAES,2023,1000,100,High,LCOS,LCOS ($/kWh),0.15
CAES,2023,1000,100,Low,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",869.09
CAES,2023,1000,100,Low,Capital Cost,Cavern Storage ($/kWh),2.26
CAES,2023,1000,100,Low,O&M Cost,Fixed O&M ($/kW-year),8.35
CAES,2023,1000,100,Low,Performance,Rest Before Charge (hrs),0
CAES,2023,1000,100,Low,Performance,Rest After Discharge (hrs),0
CAES,2023,1000,100,Low,Performance,RTE (%),0.69
CAES,2023,1000,100,Low,Performance,Calendar Life (yrs),60
CAES,2023,1000,100,Low,Performance,Primary DOD (%),0.8
CAES,2023,1000,100,Low,Capital Cost,Total Installed Cost ($),1095090000
CAES,2023,1000,100,Low,Capital Cost,Total Installed Cost ($/kW),1095.09
CAES,2023,1000,100,Low,Capital Cost,Total Installed Cost ($/kWh),10.95
CAES,2023,1000,100,Low,LCOS,LCOS_Project_Life (yrs),60
CAES,2023,1000,100,Low,LCOS,LCOS ($/kWh),0.0765
CAES,2023,1000,100,Point,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",965.66
CAES,2023,1000,100,Point,Capital Cost,Cavern Storage ($/kWh),5.32
CAES,2023,1000,100,Point,O&M Cost,Fixed O&M ($/kW-year),9.28
CAES,2023,1000,100,Point,Performance,Rest Before Charge (hrs),0
CAES,2023,1000,100,Point,Performance,Rest After Discharge (hrs),0
CAES,2023,1000,100,Point,Performance,RTE (%),0.55
CAES,2023,1000,100,Point,Performance,Calendar Life (yrs),60
CAES,2023,1000,100,Point,Performance,Primary DOD (%),0.8
CAES,2023,1000,100,Point,Capital Cost,Total Installed Cost ($),1497660000
CAES,2023,1000,100,Point,Capital Cost,Total Installed Cost ($/kW),1497.66
CAES,2023,1000,100,Point,Capital Cost,Total Installed Cost ($/kWh),14.98
CAES,2023,1000,100,Point,LCOS,LCOS_Project_Life (yrs),60
CAES,2023,1000,100,Point,LCOS,LCOS ($/kWh),0.1056
CAES,2030,100,4,High,Capital Cost,"CAES Capital (Turbine, Compressor, BOP, & EPC Management) ($/kW)",1155.3
CAES,2030,100,4,High,Capital Cost,Cavern Storage ($/kWh),16.59
CAES,2030,100,4,High,O&M Cost,Fixed O&M ($/kW-year),18.72
CAES,2030,100,4,High,Performance,Rest Before Charge (hrs),0
CAES,2030,100,4,High,Performance,Rest After Discharge (hrs),0
CAES,2030,100,4,High,Performance,RTE (%),0.52
CAES,2030,100,4,High,Performance,Calendar Life (yrs),60
CAES,2030,100,4,High,Performance,Primary DOD (%),0.8
CAES,2030,100,4,High,Capital Cost,Total Installed Cost ($),122166000
CAES,2030,100,4,High,Capital Cost,Total Installed Cost ($/kW),1221.66
CAES,2030,100,4,High,Capital Cost,Total Installed Cost ($/kWh),305.42
CAES,2030,100,4,High,LCOS,LCOS_Project_Life (yrs),60
CAES,2030,100,4,High,LCOS,LCOS ($/kWh),0.1568
